date,turnover,tc_cost,w_SU26219RMFS4,w_SBER,w_LKOH,w_T,w_VTBR,w_OZON,w_YDEX,w_X5,w_SPBE,w_PLZL,w_PHOR,w_LQDT,w_TMOS,w_TGLD,w_RU000A108Q29,w_RU000A10CMR3,w_RU000A10DQA8,w_RU000A105QX1,w_SU26226RMFS9,w_SU26207RMFS9,w_SU26212RMFS9
2024-05-06,0.14936781805716207,0.00014936781805716207,0.2,0.2,0.14413482892998905,0.0,0.0,0.2,0.0,0.0,0.0,0.0,8.93700797309416e-17,0.0,0.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.055865171070010836,1.257532369311715e-16,0.0
2024-06-05,0.008042069025564643,8.042069025564643e-06,0.2,0.19999999999999998,0.15217689795555314,0.0,6.913793867794002e-17,0.19999999999999993,0.0,0.0,0.0,0.0,4.8327491848365125e-17,0.0,1.938560386808605e-16,0.19999999999999996,0.0,0.0,0.0,0.0,0.04782310204444639,0.0,1.5307144199116756e-16
2024-07-05,0.10697302804409206,0.00010697302804409207,0.1408500740003548,0.2,0.19999999999999993,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.059149925999645456,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,0.264011704484488,0.00026401170448448803,0.19023271691328386,0.2,0.11160314671421732,0.0,0.0,0.083535074800942,0.0,0.0,0.0,0.014629061571549487,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,1.1461390103138278e-14,0.0,0.0
2024-09-03,0.08779102258472492,8.779102258472492e-05,0.1999999999993236,0.1917424362350341,0.08008634117027283,1.501198220980479e-14,1.5118819690111954e-14,0.04865311477123219,0.0,0.0,1.4110262900036827e-14,0.0014943683256258466,1.2134268566443507e-14,0.1999999999998459,8.769665583410239e-14,0.19999999999997092,0.0,0.0,0.0,0.0,0.07802373949818982,3.5160615959894124e-13,9.022844151331458e-15
2024-10-02,0.08443884001866163,8.443884001866162e-05,0.13710350816661973,0.1924161309230492,0.07774962179700004,0.0,0.0,0.038916958964849285,0.0,0.0,0.0,0.0852595136560912,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.06855426649239448,0.0,0.0
2024-10-31,0.0984274222162164,9.842742221621641e-05,0.16986116772701906,0.14012948932887895,0.0588222974722363,0.0,0.0,0.011703502667565131,0.0,0.0,0.0,0.10932124723998353,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.11016229556431738,9.330437825345142e-17,0.0
2024-11-29,0.06650857614892254,6.650857614892254e-05,0.17232487258517018,0.13109186937275827,0.10121804624516448,1.6452247707698159e-15,2.283605783150513e-15,0.03335262518539559,0.0,0.0,1.7375642875032373e-15,0.09798544411037151,1.2340491905045836e-15,0.19999999999999044,3.949625904113216e-15,0.1999999999999972,0.0,0.0,0.0,0.0,0.06402714250113979,1.1118037514663e-15,7.686632280441288e-16
2024-12-28,0.031214736565505535,3.121473656550554e-05,0.1727148191899692,0.14041441189883153,0.11994662657177343,1.534552223064968e-14,1.794987911266134e-14,0.029614867080266845,0.0,0.0,1.442100748326635e-14,0.0705084656501857,1.424885340320039e-14,0.19999999999983106,1.0630346954050607e-13,0.19999999999996548,0.0,0.0,0.0,0.0,0.06680080960898531,1.4061879302592242e-14,9.075472276518416e-15
2025-01-31,0.06793986450316108,6.793986450316109e-05,0.1739979140254078,0.08082346239326572,0.15261663025493125,0.0,0.0,0.02126595208286594,0.0,0.0,0.0,0.07555170936544058,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.09574433187809461,0.0,0.0
