,IMOEX,SU26219RMFS4,SBER,LKOH,T,VTBR,OZON,YDEX,X5,SPBE,PLZL,PHOR,LQDT,TMOS,TGLD,RU000A108Q29,RU000A10CMR3,RU000A10DQA8,RU000A105QX1,SU26226RMFS9,SU26207RMFS9,SU26212RMFS9
PLZL,0.015911977479166842,0.023585783422937805,0.025676443395338706,0.02412811413133606,-0.004715843172009649,0.013047194822463047,0.013314177785188617,-0.04838167099621371,0.024626947144205782,-0.04837149540808439,1.0,-0.009394717073152545,0.00539999612345451,0.0028455579392337774,0.007001277561421391,-0.01168733258038775,0.09536343975307382,0.31869019097267814,-0.01730876174096477,0.0015541897572394561,0.022286203297820908,0.02207397535449696
PHOR,0.3081188662377644,0.143633228459513,0.3101644829771023,0.3252980886429293,0.27706837449097027,0.18756552915626534,0.20579227995035565,0.5203648106847367,0.2578455081728156,0.13546668869337736,-0.009394717073152545,1.0,-0.014797118702094618,0.3823416522121222,-0.006563108901756858,-0.00444030736032001,0.04406199821973947,-0.175366219279368,0.10412918335558083,0.15835630172240506,0.16680290604608225,0.1885993148342428
LQDT,0.019073388154615758,0.0997158411436465,-0.03493610379636426,0.009059610614970643,-0.0579727438389489,-0.016823091919197064,0.012891064569278424,-0.053495060708290826,-0.004227372190580306,-0.008337942521714504,0.00539999612345451,-0.014797118702094618,1.0,0.008931500888976757,0.003992448279748982,0.1629550030512953,0.03709681663114222,0.0023161993750515173,0.022047983576143928,0.043314451925573455,0.04892428076499294,0.038755677414219224
TMOS,0.7206246592593134,0.3149801131537837,0.7568340029533236,0.6849966180344056,0.6428758147114364,0.509853782974697,0.6081966112177751,0.7537605384950944,0.5585517891885791,0.4162425731331653,0.0028455579392337774,0.3823416522121222,0.008931500888976757,1.0,0.005842770909922369,0.08260399572991842,0.29176805770705583,0.3085190427350069,0.1058927988017318,0.3256569840860295,0.33424999600042327,0.3715542047448144
TGLD,-0.03202890597575928,-0.07907339129754966,-0.05375649090179684,0.022882121642823175,0.013518925826231785,-0.05854893149075642,-0.036194409962229855,0.04838807453168822,0.03489481144953739,-0.025145338070461865,0.007001277561421391,-0.006563108901756858,0.003992448279748982,0.005842770909922369,1.0,0.1393362324918117,0.10285603821689164,0.05623738969144068,0.2675048579906125,-0.07154905217209022,-0.08745026394358865,-0.06689274194161805
RU000A108Q29,0.049280531383068225,0.033934275091376205,0.015380758691892196,0.06305205074757785,0.004539888351249392,0.04555833922495467,0.05363314199774244,0.020536382621073598,0.03559198691726869,0.12425290326951013,-0.01168733258038775,-0.00444030736032001,0.1629550030512953,0.08260399572991842,0.1393362324918117,1.0,0.6945985705636026,0.7741472102445888,0.45708257836678196,0.047695708636307475,-0.017998005858118466,0.030220386044350303
RU000A10CMR3,0.25236226256454275,-0.01681326388975914,0.31460910146070453,0.28395436802818863,0.3557931754103331,0.19306430475589909,0.05872862759175037,0.2728542612819791,0.2509904367056803,0.31154389680067107,0.09536343975307382,0.04406199821973947,0.03709681663114222,0.29176805770705583,0.10285603821689164,0.6945985705636026,1.0,0.9340379804338338,0.6955290367198295,0.3146823105470927,0.31963854688056076,0.18571362543721118
RU000A10DQA8,0.45514519256022967,0.5658052436950534,0.7354549331380004,-0.07625605152765856,0.4183245017345843,0.45080708639280126,0.3456030588682491,-0.05534743170790799,0.12316103012664512,0.3013482309851124,0.31869019097267814,-0.175366219279368,0.0023161993750515173,0.3085190427350069,0.05623738969144068,0.7741472102445888,0.9340379804338338,1.0,0.8599412867881766,0.714394911656952,0.3537939956057862,-0.07841664164368979
RU000A105QX1,0.11589184872885462,0.047527873798936845,0.05470271292804897,0.1067042253260524,0.08198485896250426,0.006162674452656173,0.06580592835138072,0.06268491866392949,0.06186652550743336,0.029177749599078474,-0.01730876174096477,0.10412918335558083,0.022047983576143928,0.1058927988017318,0.2675048579906125,0.45708257836678196,0.6955290367198295,0.8599412867881766,1.0,0.05036113069302384,0.03464433068231106,0.04983827794442838
SU26226RMFS9,0.43478967059805085,0.9043432186260328,0.3761347396971699,0.2784741445540833,0.2675613979842197,0.23480249320059682,0.2822651711831815,0.3382629890891377,0.24463862091809674,0.14822656335823506,0.0015541897572394561,0.15835630172240506,0.043314451925573455,0.3256569840860295,-0.07154905217209022,0.047695708636307475,0.3146823105470927,0.714394911656952,0.05036113069302384,1.0,0.8557495813016988,0.8181164992634938
